"chaineid","Nom","Code","Numéro","parcours","year","label","Bilan ajouter","ajout1","ajout2"
"","INFO","S56",4563,,,,,,
"","GROUPES L1",,14530,,,,,,
"info*l1*INFO1","L1 INFO 1",,14516,"info","l1","INFO1",,,
"info*l1*INFO2","L1 INFO 2",,14517,"info","l1","INFO2",,,
"info*l1*INFO3","L1 INFO 3",,14518,"info","l1","INFO3",,,
"info*l1*INFO4","L1 INFO 4",,14519,"info","l1","INFO4",,,
"info*l1*INFO5","L1 INFO 5",,14520,"info","l1","INFO5",,,
"info*l1*INFO6","L1 INFO 6",,14521,"info","l1","INFO6",,,
"info*l1*INFO BIO A","L1 INFO BIO A",,14525,"info","l1","INFO BIO A",,,
"info*l1*INFO BIO B","L1 INFO BIO B",,14524,"info","l1","INFO BIO B",,,
"info*l1*INFO JAP","L1 INFO JAP",,14523,"info","l1","INFO JAP",,,
"info*l1*MathInfo1","L1 INFO MATHS-INFO 1",,14522,"info","l1","MathInfo1",,,
"info*l1*MathInfo2","L1 INFO MATHS-INFO 2",,14527,"info","l1","MathInfo2",,,
"","L1-effectif 135",,14536,,,,,,
"","L1-effectif 160",,14537,,,,,,
"","L1-effectif 200",,14539,,,,,,
"","L1-effectif 250",,14542,,,,,,
"","L1-effectif 270",,33215,,,,,,
"","L1-effectif 30",,14531,,,,,,
"","L1-effectif 35",,14533,,,,,,
"","L1-effectif 70",,14534,,,,,,
"","GROUPES L2",,14548,,,,,,
"info*l2*INFO1","L2 INFO 1",,14546,"info","l2","INFO1",,,
"info*l2*INFO2","L2 INFO 2",,14552,"info","l2","INFO2",,,
"info*l2*INFO3","L2 INFO 3",,14554,"info","l2","INFO3",,,
"info*l2*INFO4","L2 INFO 4",,14557,"info","l2","INFO4",,,
"info*l2*INFO5","L2 INFO 5",,14559,"info","l2","INFO5",,,
"","L2 INFO 6",,14561,,,,,,
"info*l2*INFO BIO","L2 INFO BIO",,14576,"info","l2","INFO BIO",,,
"info*l2*INFO JAP","L2 INFO JAP",,14575,"info","l2","INFO JAP",,,
"info*l2*MathInfo1","L2 MATHS-INFO 1",,14574,"info","l2","MathInfo1",,,
"info*l2*MathInfo2","L2 MATHS-INFO 2",,14573,"info","l2","MathInfo2",,,
"","L2-effectif 190",,14569,,,,,,
"","L2-effectif 240",,14571,,,,,,
"","L2-effectif 250",,33461,,,,,,
"","L2-effectif 30",,14563,,,,,,
"","L2-effectif 35",,14565,,,,,,
"","L2-effectif 70",,14567,,,,,,
"","GROUPES L3",,14513,,,,,,
"info*l3*INFO1","L3 INFO 1",,14543,"info","l3","INFO1",,,
"info*l3*INFO2","L3 INFO 2",,14577,"info","l3","INFO2",,,
"info*l3*INFO3","L3 INFO 3",,14579,"info","l3","INFO3",,,
"info*l3*INFO4","L3 INFO 4",,14580,"info","l3","INFO4",,,
"info*l3*INFO5","L3 INFO 5",,14581,"info","l3","INFO5",,,
"info*l3*INFO BIO","L3 INFO BIO",,14584,"info","l3","INFO BIO",,,
"info*l3*INFO JAP","L3 INFO JAP",,14585,"info","l3","INFO JAP",,,
"info*l3*INFO MATH","L3 MATHS-INFO",,14586,"info","l3","INFO MATH",,,
"","L3-effectif 250",,33463,,,,,,
"","L3-effectif 28",,14582,,,,,,
"","L3-effectif 40",,14583,,,,,,
"","L3-effectif 50",,33663,,,,,,
"","L3-effectif 65",,33467,,,,,,
"","GROUPES M1",,14587,,,,,,
"info*m1*M1 CRYPTO/MIC","M1 CRYPTO/MIC",,14599,"info","m1","M1 CRYPTO/MIC",,,
"info*m1*M1 DATA","M1 DATA",,14588,"info","m1","M1 DATA",,,
"info*m1*M1 EIDD","M1 EIDD",,58594,"info","m1","M1 EIDD",,,
"info*m1*M1 GENIAL","M1 GENIAL",,14590,"info","m1","M1 GENIAL",,,
"info*m1*M1 IMPAIRS","M1 IMPAIRS",,14589,"info","m1","M1 IMPAIRS",,,
"info*m1*M1 LP","M1 LP",,14595,"info","m1","M1 LP",,,
"info*m1*M1 MPRI","M1 MPRI",,14596,"info","m1","M1 MPRI",,,
"info*m1*M1 SDD/MIDS","M1 SDD/MIDS",,14602,"info","m1","M1 SDD/MIDS",,,
"","M1-effectif 100",,14604,,,,,,
"","M1-effectif 140",,14605,,,,,,
"","M1-effectif 30",,14606,,,,,,
"","M1-effectif 35",,14608,,,,,,
"","M1-effectif 40",,14611,,,,,,
"","M1-effectif 50",,14610,,,,,,
"","M1-effectif 65",,14614,,,,,,
"","M1-effectif 80",,14615,,,,,,
"","GROUPES M2",,14618,,,,,,
"info*m2*M2 CRYPTO/MIC","M2 CRYPTO/MIC",,14617,"info","m2","M2 CRYPTO/MIC",,,
"info*m2*M2 DATA","M2 DATA",,14620,"info","m2","M2 DATA",,,
"info*m2*M2 EIDD","M2 EIDD",,60821,"info","m2","M2 EIDD",,,
"info*m2*M2 GENIAL","M2 GENIAL",,14627,"info","m2","M2 GENIAL",,,
"info*m2*M2 IMPAIRS","M2 IMPAIRS",,14623,"info","m2","M2 IMPAIRS",,,
"info*m2*M2 LP","M2 LP",,14622,"info","m2","M2 LP",,,
"info*m2*M2 MPRI","M2 MPRI",,14626,"info","m2","M2 MPRI",,,
"info*m2*M2 SDD/MIDS","M2 SDD/MIDS",,14629,"info","m2","M2 SDD/MIDS",,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
"",,,,,,,,,
